timestamp gpu_instant gpu_average
1733935249.962 123.228 67.225
1733935250.022 123.228 67.225
1733935250.082 123.080 70.015
1733935250.142 122.995 111.931
1733935250.202 122.995 111.931
1733935250.263 123.272 120.220
1733935250.323 123.272 120.220
1733935250.383 123.436 122.355
1733935250.443 123.442 123.167
1733935250.503 123.442 123.167
1733935250.563 124.276 123.331
1733935250.623 124.276 123.331
1733935250.683 123.321 123.365
1733935250.743 123.456 123.406
1733935250.803 123.456 123.406
1733935250.864 123.531 123.448
1733935250.924 123.531 123.448
M 25.794 "end"
1733935250.984 123.800 123.440
1733935251.044 101.604 121.422
1733935251.104 101.604 121.422
1733935251.164 35.397 111.832
1733935251.224 35.397 111.832
1733935251.284 35.337 105.483
1733935251.344 35.337 105.483
1733935251.405 34.056 97.372
1733935251.465 33.994 89.241
1733935251.525 33.994 89.241
1733935251.585 33.869 81.100
1733935251.645 33.869 81.100
1733935251.705 33.799 72.872
1733935251.765 33.750 64.731
1733935251.825 33.750 64.731
1733935251.885 33.675 56.568
1733935251.945 33.675 56.568
1733935252.006 33.543 48.389
1733935252.066 33.563 48.389
1733935252.126 33.563 48.389
1733935252.186 33.521 48.389
1733935252.246 33.521 48.389
1733935252.306 33.505 48.389
1733935252.366 33.506 48.389
1733935252.426 33.506 48.389
1733935252.486 33.492 48.389
1733935252.546 33.492 48.389
1733935252.607 33.442 48.389
1733935252.667 33.432 48.389
1733935252.727 33.432 48.389
1733935252.787 33.463 48.389
1733935252.847 33.463 48.389
1733935252.907 33.447 48.389
1733935252.967 33.447 48.389
1733935253.027 30.800 33.113
1733935253.087 29.551 33.113
1733935253.147 29.551 33.113
1733935253.208 29.612 33.113
1733935253.268 29.612 33.113
1733935253.328 29.613 33.113
1733935253.388 29.609 33.113
1733935253.448 29.609 33.113
1733935253.508 29.519 33.113
1733935253.568 29.519 33.113
1733935253.628 29.491 33.113
1733935253.688 29.581 33.113
1733935253.748 29.581 33.113
1733935253.809 29.667 33.113
1733935253.869 29.667 33.113
1733935253.929 29.683 31.392
1733935253.989 29.695 31.392
1733935254.049 29.695 31.392
1733935254.109 29.717 31.392
1733935254.169 29.717 31.392
1733935254.229 29.678 31.392
1733935254.289 29.692 31.392
1733935254.349 29.692 31.392
1733935254.410 29.663 31.392
1733935254.470 29.663 31.392
1733935254.530 29.541 31.392
1733935254.590 29.602 31.392
1733935254.650 29.602 31.392
1733935254.710 29.529 31.392
1733935254.770 29.529 31.392
1733935254.830 29.467 31.392
1733935254.890 29.542 29.663
1733935254.951 29.542 29.663
1733935255.011 29.597 29.663
1733935255.071 29.597 29.663
1733935255.131 29.558 29.663
1733935255.191 29.501 29.663
1733935255.251 29.501 29.663
1733935255.311 29.481 29.663
1733935255.371 29.481 29.663
1733935255.431 29.529 29.663
1733935255.491 29.457 29.663
1733935255.552 29.457 29.663
1733935255.612 29.446 29.663
1733935255.672 29.446 29.663
1733935255.732 29.474 29.663
1733935255.792 29.490 29.663
1733935255.852 29.490 29.663
1733935255.912 29.544 29.559
M 30.783 "start"
1733935255.972 29.544 29.559
1733935256.032 40.464 30.547
1733935256.092 101.781 36.485
1733935256.153 101.781 36.485
1733935256.213 101.837 41.509
1733935256.273 101.837 41.509
1733935256.333 120.910 47.191
1733935256.393 122.969 52.243
1733935256.453 122.969 52.243
1733935256.513 123.171 56.676
1733935256.573 123.171 56.676
1733935256.633 123.326 60.597
1733935256.693 123.973 64.116
1733935256.754 123.973 64.116
1733935256.814 123.287 67.232
1733935256.874 123.287 67.232
1733935256.934 123.569 70.049
1733935256.994 123.485 111.765
1733935257.054 123.485 111.765
1733935257.114 123.733 119.293
1733935257.174 123.733 119.293
1733935257.234 123.668 121.279
1733935257.295 123.678 123.264
1733935257.355 123.678 123.264
